,ISIN,Coupon ,Issue Date ,Time until maturity,Time until maturity in years,Maturity Date ,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan
1,CA135087H490,0.017500,10/6/2017,1 month,0.083,3/1/2023,99.71,99.7,99.72,99.72,99.74,99.75,99.76,99.77,99.78,99.79
2,CA135087A610,0.015000,7/30/2012,4 months,0.333,6/1/2023,98.92,98.92,98.94,98.95,98.95,98.96,98.98,99,99,99
3,CA135087N423,0.015000,2/22/2022,1 year 3 months,1.25,5/1/2024,96.85,96.8,96.92,96.89,96.82,96.79,96.79,96.85,96.86,96.76
4,CA135087J967,0.015000,4/5/2019,1 year 7 months,1.583,9/1/2024,96.48,96.45,96.58,96.5,96.4,96.4,96.39,96.47,96.48,96.29
5,CA135087K528,0.012500,10/11/2019,2 years 1 month,2.083,3/1/2025,95.38,95.42,95.61,95.59,95.44,95.38,95.34,95.47,95.5,95.3
6,CA135087N340,0.015000,1/24/2022,2 years 2 months,2.167,4/1/2025,95.72,95.76,95.96,95.95,95.79,95.72,95.68,95.84,95.87,95.67
7,CA135087E679,0.015000,7/21/2015,3 years 4 months,3.333,6/1/2026,94.84,94.94,95.27,95.34,95.02,95.03,95,95,95.2,95.01
8,CA135087L930,0.010000,4/16/2021,3 years 7 months,3.583,9/1/2026,92.72,92.84,93.24,93.29,92.95,92.9,92.91,93.05,93.04,92.77
9,CA135087M847,0.012500,10/15/2021,4 years 1 month,4.083,3/1/2027,93.14,93.25,93.73,93.78,93.39,93.33,93.35,93.5,93.46,93.14
10,CA135087F825,0.010000,8/3/2016,4 years 4 months,4.333,6/1/2027,92.27,92.38,92.87,92.85,92.35,92.36,92.4,92.54,92.5,92.12
